goods_code	supplementary_unit	description
54081000	MTK	square meter
54082100	MTK	square meter
54082210	MTK	square meter
54082290	MTK	square meter
54082300	MTK	square meter
54082400	MTK	square meter
54083100	MTK	square meter
54083200	MTK	square meter
54083300	MTK	square meter
54083400	MTK	square meter
55121100	MTK	square meter
55121910	MTK	square meter
55121990	MTK	square meter
55122100	MTK	square meter
55122910	MTK	square meter
55122990	MTK	square meter
55129100	MTK	square meter
55129910	MTK	square meter
55129990	MTK	square meter
55131120	MTK	square meter
55131190	MTK	square meter
55131200	MTK	square meter
55131300	MTK	square meter
55131900	MTK	square meter
55132100	MTK	square meter
55132310	MTK	square meter
55132390	MTK	square meter
55132900	MTK	square meter
55133100	MTK	square meter
55133900	MTK	square meter
55134100	MTK	square meter
55134900	MTK	square meter
55141100	MTK	square meter
55141200	MTK	square meter
55141910	MTK	square meter
55141990	MTK	square meter
55142100	MTK	square meter
55142200	MTK	square meter
55142300	MTK	square meter
55142900	MTK	square meter
55143010	MTK	square meter
55143030	MTK	square meter
55143050	MTK	square meter
55143090	MTK	square meter
55144100	MTK	square meter
55144200	MTK	square meter
55144300	MTK	square meter
55144900	MTK	square meter
55151110	MTK	square meter
55151130	MTK	square meter
55151190	MTK	square meter
55151210	MTK	square meter
55151230	MTK	square meter
55151290	MTK	square meter
55151311	MTK	square meter
55151319	MTK	square meter
55151391	MTK	square meter
55151399	MTK	square meter
55151910	MTK	square meter
55151930	MTK	square meter
55151990	MTK	square meter
55152110	MTK	square meter
55152130	MTK	square meter
55152190	MTK	square meter
55152211	MTK	square meter
55152219	MTK	square meter
55152291	MTK	square meter
55152299	MTK	square meter
55152900	MTK	square meter
55159110	MTK	square meter
55159130	MTK	square meter
55159190	MTK	square meter
55159920	MTK	square meter
55159940	MTK	square meter
55159980	MTK	square meter
55161100	MTK	square meter
55161200	MTK	square meter
55161300	MTK	square meter
55161400	MTK	square meter
55162100	MTK	square meter
55162200	MTK	square meter
55162310	MTK	square meter
55162390	MTK	square meter
55162400	MTK	square meter
55163100	MTK	square meter
55163200	MTK	square meter
55163300	MTK	square meter
55163400	MTK	square meter
55164100	MTK	square meter
55164200	MTK	square meter
55164300	MTK	square meter
55164400	MTK	square meter
55169100	MTK	square meter
55169200	MTK	square meter
55169300	MTK	square meter
55169400	MTK	square meter
57011010	MTK	square meter
57011090	MTK	square meter
57019010	MTK	square meter
57019090	MTK	square meter
57021000	MTK	square meter
57022000	MTK	square meter
57023110	MTK	square meter
57023180	MTK	square meter
57023200	MTK	square meter
57023900	MTK	square meter
57024110	MTK	square meter
57024190	MTK	square meter
57024200	MTK	square meter
57024900	MTK	square meter
57025010	MTK	square meter
57025031	MTK	square meter
57025039	MTK	square meter
57025090	MTK	square meter
57029100	MTK	square meter
57029210	MTK	square meter
57029290	MTK	square meter
57029900	MTK	square meter
57031000	MTK	square meter
57032012	MTK	square meter
57032018	MTK	square meter
57032092	MTK	square meter
57032098	MTK	square meter
57033012	MTK	square meter
57033018	MTK	square meter
57033082	MTK	square meter
57033088	MTK	square meter
57039020	MTK	square meter
57039080	MTK	square meter
57041000	MTK	square meter
57042000	MTK	square meter
57049000	MTK	square meter
57050030	MTK	square meter
57050080	MTK	square meter
58011000	MTK	square meter
58012100	MTK	square meter
58012200	MTK	square meter
58012300	MTK	square meter
58012600	MTK	square meter
58012700	MTK	square meter
58013100	MTK	square meter
58013200	MTK	square meter
58013300	MTK	square meter
58013600	MTK	square meter
58013700	MTK	square meter
58019010	MTK	square meter
58019090	MTK	square meter
58021100	MTK	square meter
58021900	MTK	square meter
58022000	MTK	square meter
58023000	MTK	square meter
58030010	MTK	square meter
58030030	MTK	square meter
58030090	MTK	square meter
58110000	MTK	square meter
59011000	MTK	square meter
59019000	MTK	square meter
59021010	MTK	square meter
59021090	MTK	square meter
59022010	MTK	square meter
59022090	MTK	square meter
59029010	MTK	square meter
59029090	MTK	square meter
59031010	MTK	square meter
59031090	MTK	square meter
59032010	MTK	square meter
59032090	MTK	square meter
59039010	MTK	square meter
59039091	MTK	square meter
59039099	MTK	square meter
59041000	MTK	square meter
59049000	MTK	square meter
59070000	MTK	square meter
59113111	MTK	square meter
59113211	MTK	square meter
59113219	MTK	square meter
61012010	NAR	number of items
61012090	NAR	number of items
61013010	NAR	number of items
61013090	NAR	number of items
61019020	NAR	number of items
61019080	NAR	number of items
61021010	NAR	number of items
61021090	NAR	number of items
61022010	NAR	number of items
61022090	NAR	number of items
61023010	NAR	number of items
